"shot_taker","sumXG","sumGoals","actualShots","goalRate","avgXG"
"2Piece",1.0554820967235,0,3,0,0.351827365574499
"Lj",0.600836203639362,2,6,0.333333333333333,0.100139367273227
"MaJicBear",4.76584738149141,5,8,0.625,0.595730922686426
"Shock",0.691654034806801,1,4,0.25,0.1729135087017
