"shot_taker","sumXG","sumGoals","actualShots","goalRate","avgXG"
"ApparentlyJack",1.0905575896185,3,6,0.5,0.18175959826975
"itachi",2.05664436220602,1,3,0.333333333333333,0.685548120735339
"joreuz",0.56750512344805,4,4,1,0.141876280862012
"Stake",2.00803112516035,1,4,0.25,0.502007781290088
