"shot_taker","sumXG","sumGoals","actualShots","goalRate","avgXG"
"2Piece",1.19114398203088,0,2,0,0.595571991015442
"Lj",0.196042085232752,0,3,0,0.0653473617442507
"MaJicBear",1.90246525656812,1,3,0.333333333333333,0.634155085522707
"Shock",0.149077090919208,0,3,0,0.049692363639736
