"","shot_taker_id","sum_xg","total_goals","count","outperformance","actual_goal_rate","avg_xg"
"1","76561198012337838",13.4551370122774,24,46,1.78370535938064,0.521739130434783,0.292502978527769
"2","76561198002542052",13.8111543270232,22,26,1.59291536964106,0.846153846153846,0.531198243347047
"3","76561199003527262",5.66012923814212,9,23,1.59006970006115,0.391304347826087,0.246092575571397
"4","76561198164573553",8.22149918027227,13,25,1.58122012968071,0.52,0.328859967210891
"5","b97fe6ef08b",10.2803647344888,16,36,1.55636501361891,0.444444444444444,0.285565687069134
"6","76561198925783869",9.01281645446027,14,25,1.55334351595185,0.56,0.360512658178411
"7","76561198306103973",19.5035071904002,30,49,1.53818488680673,0.612244897959184,0.398030758987759
"8","76561198134892725",11.7121382833852,18,36,1.53686710013788,0.5,0.325337174538477
"9","76561198218081920",6.6072629923011,10,21,1.51348599437501,0.476190476190476,0.314631571061957
"10","76561198855331763",6.67597907866635,10,22,1.49790763005172,0.454545454545455,0.303453594484834
"11","be5403c1afb",8.83496700023771,13,25,1.47142598264942,0.52,0.353398680009509
"12","b8d0ece278b",8.33483766542489,12,24,1.43974009833199,0.5,0.347284902726037
"13","76561198278592920",7.05963482218556,10,24,1.41650386342564,0.416666666666667,0.294151450924398
"14","76561198197467791",9.17782854417796,13,23,1.41645705598267,0.565217391304348,0.399036023659912
"15","76561199070529477",9.21587401859387,13,23,1.41060956060937,0.565217391304348,0.400690174721473
"16","76561198314985694",9.31598019324305,13,28,1.39545165729624,0.464285714285714,0.332713578330109
"17","76561198209103893",5.76977261330985,8,28,1.38653644366251,0.285714285714286,0.206063307618209
"18","76561198084019532",10.1091522380112,14,27,1.3848836846436,0.518518518518518,0.374413045852266
"19","76561199075665460",7.23978422676563,10,21,1.38125663511211,0.476190476190476,0.344751629845982
"20","76561197997883261",7.27224720045106,10,26,1.37509076965642,0.384615384615385,0.279701815401964
"21","76561198817346573",9.46334804366702,13,28,1.37372100656276,0.464285714285714,0.337976715845251
"22","76561198142203335",6.56377277015538,9,21,1.37116264001731,0.428571428571429,0.312560608102637
"23","76561198313081719",11.0945504615147,15,29,1.35201512238217,0.517241379310345,0.382570705569472
"24","b2dcd5bd94b",11.8505719933398,16,33,1.35014579962825,0.484848484848485,0.35910824222242
"25","76561198890967354",5.93038320770558,8,22,1.34898533868862,0.363636363636364,0.269562873077526
"26","76561198071924790",9.69185281566921,13,28,1.34133279232041,0.464285714285714,0.346137600559615
"27","b539903ef2b",9.72003300662618,13,28,1.33744401805404,0.464285714285714,0.347144035950935
"28","76561198073423669",6.01003226308733,8,22,1.33110766295461,0.363636363636364,0.273183284685788
"29","76561198194737953",12.0317854411822,16,35,1.32981094769489,0.457142857142857,0.343765298319491
"30","76561198111705018",8.32473886923387,11,22,1.32136276858524,0.5,0.378397221328812
"31","76561198996353463",9.09711393114215,12,24,1.31909967170142,0.5,0.37904641379759
"32","76561198279036515",7.65532572408706,10,28,1.30628014540721,0.357142857142857,0.273404490145966
"33","bf0be627bfb",10.0094469698612,13,28,1.29877305301117,0.464285714285714,0.357480248923613
"34","76561198008855846",10.142568412136,13,26,1.28172662699962,0.5,0.390098785082155
"35","76561198119053004",14.9202809262383,19,47,1.27343446775102,0.404255319148936,0.317452785664644
"36","b368f258eab",13.3589311139268,17,33,1.27255690257114,0.515151515151515,0.40481609436142
"37","76561198950919884",7.07759369314463,9,23,1.27161863059721,0.391304347826087,0.307721464919332
"38","76561198075105006",9.45519058962847,12,24,1.26914416861813,0.5,0.393966274567853
"39","76561198049973446",8.67346585789852,11,21,1.26823581025373,0.523809523809524,0.413022183709453
"40","76561198344859126",9.53175726359309,12,24,1.25894939077335,0.5,0.397156552649712
"41","76561198008807875",7.24788333291779,9,22,1.24174184194227,0.409090909090909,0.329449242405354
"42","b65c1446abb",10.4705572080996,13,31,1.24157671283661,0.419354838709677,0.337759909938698
"43","76561198013580999",8.89484729181928,11,31,1.23667103426462,0.354838709677419,0.286930557800622
"44","bae845769db",17.7957210170803,22,45,1.23625224169813,0.488888888888889,0.395460467046228
"45","76561198115249518",8.10559484269445,10,23,1.2337157474646,0.434782608695652,0.352417167073672
"46","76561198055866128",10.5378845718855,13,31,1.2336441826933,0.419354838709677,0.339931760383403
"47","76561198097672410",13.0165272250677,16,33,1.22920650979676,0.484848484848485,0.394440218941446
"48","76561198866248682",15.4736953288292,19,52,1.22789027418686,0.365384615384615,0.297571064015946
"49","b09c202b4db",6.52048322106173,8,21,1.22690293476399,0.380952380952381,0.31049920100294
"50","76561198069087683",12.2414861701332,15,33,1.22534141619153,0.454545454545455,0.370954126367672
"51","b260bf4003b",9.80364997052383,12,29,1.22403390941943,0.413793103448276,0.338056895535304
"52","b5568f8827b",50.675804911976,62,128,1.22346354651286,0.484375,0.395904725874813
"53","76561198367494608",8.18580955078897,10,27,1.22162627140967,0.37037037037037,0.303178131510703
"54","76561199086998855",6.55427747676581,8,25,1.22057694816234,0.32,0.262171099070632
"55","76561197977406664",15.6113378263645,19,44,1.21706417549383,0.431818181818182,0.354803132417375
"56","76561198200008022",57.5496903675815,70,171,1.21634016713028,0.409356725146199,0.336547896886442
"57","76561198973518584",11.5433908959353,14,32,1.21281520535961,0.4375,0.360730965497977
"58","76561197971459145",7.42465755850547,9,24,1.21217711781062,0.375,0.309360731604395
"59","76561198084814513",11.5496068419698,14,31,1.21216247371519,0.451612903225806,0.372567962644186
"60","b0c5e17936b",8.25338755400273,10,22,1.21162370415408,0.454545454545455,0.375153979727397
